Name,Typ,Breitengrad,Längengrad
Keflavík International Airport (KEF),Attraktion,63.985,-22.6056
Bridge Between Continents,Attraktion,63.8672,-22.6756
Gunnuhver Geothermal Area,Attraktion,63.8194,-22.6853
Reykjavík (Zentrum),Attraktion,64.1466,-21.9426
Þingvellir National Park,Attraktion,64.2558,-21.1297
Geysir Geothermal Area,Attraktion,64.3104,-20.3024
Gullfoss Waterfall,Attraktion,64.3271,-20.1199
Secret Lagoon (Flúðir),Attraktion,64.1374,-20.3094
Seljalandsfoss,Attraktion,63.6156,-19.9886
Skógafoss,Attraktion,63.5321,-19.5113
Reynisfjara Black Sand Beach,Attraktion,63.4023,-19.0445
Vík í Mýrdal,Attraktion,63.4194,-19.0061
Fjaðrárgljúfur Canyon,Attraktion,63.7713,-18.1718
Skaftafell (Nationalparkzentrum),Attraktion,64.0165,-16.9664
Svartifoss,Attraktion,64.0275,-16.9753
Jökulsárlón Glacier Lagoon,Attraktion,64.0489,-16.1777
Diamond Beach,Attraktion,64.0433,-16.1751
Stokksnes & Vestrahorn,Attraktion,64.2443,-14.9662
Djúpivogur,Attraktion,64.6564,-14.2923
Seyðisfjörður,Attraktion,65.2598,-13.9921
Dettifoss (Westufer),Attraktion,65.8144,-16.4113
Lake Mývatn,Attraktion,65.6039,-16.9961
Hverir Geothermal Area,Attraktion,65.6415,-16.8073
Mývatn Nature Baths,Attraktion,65.6309,-16.8478
Krafla Caldera / Viti,Attraktion,65.7171,-16.7544
Goðafoss,Attraktion,65.6844,-17.5502
Akureyri (Zentrum),Attraktion,65.6835,-18.0875
Whale Watching Húsavík,Attraktion,66.0465,-17.3422
Glaumbær Turf Houses,Attraktion,65.6107,-19.5042
Kirkjufell,Attraktion,64.9417,-23.3069
Arnarstapi,Attraktion,64.7667,-23.6231
Djúpalónssandur,Attraktion,64.7536,-23.8953
Sky Lagoon,Attraktion,64.1236,-21.9384
Reykjavík Campsite,Campingplatz (Route),64.146,-21.8753
Sandgerði Campsite,Campingplatz (CampingCard),64.0336,-22.7071
Skjól Camping,Campingplatz (CampingCard),64.3111,-20.2319
Flúðir Campsite,Campingplatz (CampingCard & Route),64.1353,-20.3189
Gata Free Camping,Campingplatz (CampingCard),63.8406,-21.3912
Vík Camping,Campingplatz (Route),63.4192,-18.9956
Skaftafell Campground,Campingplatz (Route),64.0164,-16.9675
Höfn Camping,Campingplatz (Route),64.2581,-15.2031
Djúpivogur Campsite,Campingplatz (CampingCard),64.6548,-14.2954
Seyðisfjörður Camping,Campingplatz (CampingCard & Route),65.2599,-13.9984
Mývatn (Bjarg Campsite),Campingplatz (Route),65.6411,-16.9131
Fjalladýrd (Möðrudalur),Campingplatz (CampingCard),65.3739,-15.8828
Húsavík Campground,Campingplatz (CampingCard),66.0494,-17.3384
Hamrar (Akureyri),Campingplatz (Route),65.6486,-18.1025
Varmahlíð Campsite,Campingplatz (CampingCard & Route),65.5532,-19.4441
Sauðárkrókur Campsite,Campingplatz (CampingCard & Route),65.7424,-19.6515
Grundarfjörður Campsite,Campingplatz (CampingCard & Route),64.9177,-23.2558
Hellissandur Campsite,Campingplatz (CampingCard & Route),64.9161,-23.8869
